;titulo;preco
0;Hamlet;R$ 9,
1;O morro dos ventos uivantes;R$ 12,
2;Clube do Livro dos Homens (Clube do livro dos homens – Livro 1);R$ 29,
3;CAFÉ COM DEUS PAI 2023;R$ 53,
4;Salomão, o homem mais rico que já existiu: A sabedoria da Bíblia para uma vida plena e bem-sucedida;R$ 34,
5;O diário de Anne Frank;R$ 18,
6;Romeu e Julieta;R$ 14,
7;Nação dopamina: Por que o excesso de prazer está nos deixando infelizes e o que podemos fazer para mudar;R$ 43,
8;Contos de fadas dos irmãos Grimm;R$ 14,
9;Saboroso Cadáver;R$ 41,
10;Super color pack - Animais fazenda;R$ 29,
11;Edgar Allan Poe 3 Livros com marcadores e pôster: Box Obras de Edgar Allan Poe: Volume 2;R$ 23,
12;O sol é para todos;R$ 48,
13;Um perfeito cavalheiro – Edição Luxo (Os Bridgertons – Livro 3): O livro de Benedict;R$ 34,
14;Harry Potter e a Pedra Filosofal: 1;R$ 30,
15;Manual de persuasão do FBI;R$ 37,
16;Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas;R$ 34,
17;Apologia De Sócrates;R$ 19,
18;Drácula - Dark Edition: Edição limitada para caçadores de vampiros;R$ 41,
19;Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar;R$ 31,
20;Novembro, 9;R$ 31,
21;Amor & Gelato: 1;R$ 29,
22;Nunca Saia Sozinho;R$ 22,
23;O pequeno príncipe;R$ 16,
24;A fábrica de cretinos digitais: Os perigos das telas para nossas crianças;R$ 49,
25;O livro de ouro da mitologia: Histórias de deuses e heróis;R$ 23,
26;Peter Pan - À Procura Do Livro Do Nunca;R$ 11,
27;Cartas de um diabo a seu aprendiz;R$ 34,
28;O que sobra;R$ 39,
29;O livro da filosofia;R$ 52,
30;Como convencer alguém em 90 segundos: Crie uma primeira impressão vendedora;R$ 29,
31;Cristianismo puro e simples;R$ 34,
32;Arrume a sua cama: Pequenas coisas que podem mudar a sua vida... E talvez o mundo;R$ 23,
33;Kit Grandes Contos Tolkien;R$ 100,
34;Livro + CD Milton Nascimento - Clube Da Esquina 2 Disco2;R$ 11,
35;Cura pelas palavras: da autora #1 do The New York Times;R$ 31,
36;Gente pobre;R$ 10,
37;O rei dos dividendos: A saga do filho de imigrantes pobres que se tornou o maior investidor pessoa física da bolsa de valores brasileira;R$ 31,
38;O poder da ação - Edição Black: Faça sua vida ideal sair do papel e favorecendo a prosperidade;R$ 44,
39;Vida a dois para sempre: As chaves para um casamento inabalável;R$ 29,
40;Dobre seus lucros: O livro de cabeceira de Marcel Telles, fundador da Ambev;R$ 29,
41;O lado feio do amor;R$ 35,
42;O melhor de mim: O primeiro amor deixa marcas para a vida inteira;R$ 26,
43;Luzes do Norte;R$ 37,
44;As 5 linguagens do amor das crianças - nova edição: Como expressar um compromisso de amor a seu filho;R$ 0,
45;Atitude mental positiva;R$ 26,
46;De quanta terra precisa um homem? e outras histórias;R$ 11,
47;Em busca de mim;R$ 26,
